season,week,rank_eliminated,percent_eliminated,different
1,1,Kelly Monaco,Kelly Monaco,0
1,2,Trista Sutter,Trista Sutter,0
1,3,Evander Holyfield,Evander Holyfield,0
1,4,Rachel Hunter,Rachel Hunter,0
1,5,Joey McIntyre,Joey McIntyre,0
1,6,John O'Hurley,John O'Hurley,0
2,1,Kenny Mayne,Kenny Mayne,0
2,2,Tatum O'Neal,Tatum O'Neal,0
2,3,Giselle Fernandez,Giselle Fernandez,0
2,4,Master P,Master P,0
2,5,Tia Carrere,Tia Carrere,0
2,6,George Hamilton,George Hamilton,0
2,7,Lisa Rinna,Lisa Rinna,0
2,8,Jerry Rice,Jerry Rice,0
3,1,Tucker Carlson,Tucker Carlson,0
3,2,Shanna Moakler,Shanna Moakler,0
3,3,Harry Hamlin,Harry Hamlin,0
3,4,Vivica A. Fox,Vivica A. Fox,0
3,5,Sara Evans,Sara Evans,0
3,6,Jerry Springer,Jerry Springer,0
3,7,Jerry Springer,Jerry Springer,0
3,8,Monique Coleman,Monique Coleman,0
3,9,Joey Lawrence,Joey Lawrence,0
3,10,Mario Lopez,Mario Lopez,0
4,1,Billy Ray Cyrus,Billy Ray Cyrus,0
4,2,Paulina Porizkova,Paulina Porizkova,0
4,3,Shandi Finnessey,Shandi Finnessey,0
4,4,Leeza Gibbons,Leeza Gibbons,0
4,5,Clyde Drexler,Clyde Drexler,0
4,6,Heather Mills,Heather Mills,0
4,7,John Ratzenberger,John Ratzenberger,0
4,8,Billy Ray Cyrus,Billy Ray Cyrus,0
4,9,Ian Ziering,Ian Ziering,0
4,10,Laila Ali,Laila Ali,0
5,1,Josie Maran,Josie Maran,0
5,2,Albert Reed,Albert Reed,0
5,3,Wayne Newton,Wayne Newton,0
5,4,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,0
5,5,Mark Cuban,Mark Cuban,0
5,6,Sabrina Bryan,Sabrina Bryan,0
5,7,Jane Seymour,Jane Seymour,0
5,8,Cameron Mathison,Cameron Mathison,0
5,9,Jennie Garth,Jennie Garth,0
5,10,Marie Osmond,Marie Osmond,0
6,1,Monica Seles,Monica Seles,0
6,2,Monica Seles,Monica Seles,0
6,3,Steve Guttenberg,Steve Guttenberg,0
6,4,Adam Carolla,Adam Carolla,0
6,5,Priscilla Presley,Priscilla Presley,0
6,6,Marlee Matlin,Marlee Matlin,0
6,7,Shannon Elizabeth,Shannon Elizabeth,0
6,8,Mario,Mario,0
6,9,Marissa Jaret Winokur,Marissa Jaret Winokur,0
6,10,Cristian de la Fuente,Cristian de la Fuente,0
7,1,Jeffrey Ross,Jeffrey Ross,0
7,2,Kim Kardashian,Kim Kardashian,0
7,3,Cloris Leachman,Cloris Leachman,0
7,4,Rocco DiSpirito,Rocco DiSpirito,0
7,5,Toni Braxton,Toni Braxton,0
7,6,Cloris Leachman,Cloris Leachman,0
7,7,Susan Lucci,Susan Lucci,0
7,8,Maurice Greene,Maurice Greene,0
7,9,Cody Linley,Cody Linley,0
7,10,Warren Sapp,Warren Sapp,0
8,1,Steve Wozniak,Steve Wozniak,0
8,2,Belinda Carlisle,Belinda Carlisle,0
8,3,Denise Richards,Denise Richards,0
8,4,Steve Wozniak,Steve Wozniak,0
8,5,David Alan Grier,David Alan Grier,0
8,6,Steve-O,Steve-O,0
8,7,Lawrence Taylor,Lawrence Taylor,0
8,8,Chuck Wicks,Chuck Wicks,0
8,9,Lil' Kim,Lil' Kim,0
8,10,Ty Murray,Ty Murray,0
8,11,Melissa Rycroft,Melissa Rycroft,0
9,1,Ashley Hamiliton,Ashley Hamiliton,0
9,2,Kathy Ireland,Kathy Ireland,0
9,3,Tom DeLay,Tom DeLay,0
9,4,Chuck Liddell,Chuck Liddell,0
9,5,Natalie Coughlin,Natalie Coughlin,0
9,6,Melissa Joan Hart,Melissa Joan Hart,0
9,7,Mark Dacascos,Mark Dacascos,0
9,8,Aaron Carter,Aaron Carter,0
9,9,Joanna Krupa,Joanna Krupa,0
9,10,Kelly Osbourne,Kelly Osbourne,0
10,1,Buzz Aldrin,Buzz Aldrin,0
10,2,Shannen Doherty,Shannen Doherty,0
10,3,Buzz Aldrin,Buzz Aldrin,0
10,4,Aiden Turner,Aiden Turner,0
10,5,Kate Gosselin,Kate Gosselin,0
10,6,Jake Pavelka,Jake Pavelka,0
10,7,Pamela Anderson,Pamela Anderson,0
10,8,Niecy Nash,Niecy Nash,0
10,9,Chad Ochocinco,Chad Ochocinco,0
10,10,Evan Lysacek,Evan Lysacek,0
11,1,David Hasselhoff,David Hasselhoff,0
11,2,Michael Bolton,Michael Bolton,0
11,3,Margaret Cho,Margaret Cho,0
11,4,The Situation,The Situation,0
11,5,Florence Henderson,Florence Henderson,0
11,6,Audrina Patridge,Audrina Patridge,0
11,7,Rick Fox,Rick Fox,0
11,8,Kurt Warner,Kurt Warner,0
11,9,Brandy,Brandy,0
11,10,Bristol Palin,Bristol Palin,0
12,1,Mike Catherwood,Mike Catherwood,0
12,2,Mike Catherwood,Mike Catherwood,0
12,3,Wendy Williams,Wendy Williams,0
12,4,Sugar Ray Leonard,Sugar Ray Leonard,0
12,5,Petra Nemcova,Petra Nemcova,0
12,6,Chris Jericho,Chris Jericho,0
12,7,Kendra Wilkinson,Kendra Wilkinson,0
12,8,Romeo,Romeo,0
12,9,Ralph Macchio,Ralph Macchio,0
12,10,Kirstie Alley,Kirstie Alley,0
13,1,Metta World Peace (Ron),Metta World Peace (Ron),0
13,2,Elisabetta Canalis,Elisabetta Canalis,0
13,3,Kristin Cavallari,Kristin Cavallari,0
13,4,Chynna Phillips,Chynna Phillips,0
13,5,Carson Kressley,Carson Kressley,0
13,6,Chaz Bono,Chaz Bono,0
13,7,David Arquette,David Arquette,0
13,8,Nancy Grace,Nancy Grace,0
13,9,Hope Solo,Hope Solo,0
13,10,Ricki Lake,Ricki Lake,0
14,1,Melissa Gilbert,Melissa Gilbert,0
14,2,Martina Navratilova,Martina Navratilova,0
14,3,Jack Wagner,Jack Wagner,0
14,4,Sherri Sheperd,Sherri Sheperd,0
14,5,Gavin DeGraw,Gavin DeGraw,0
14,6,Gladys Knight,Gladys Knight,0
14,7,Jaleel White,Jaleel White,0
14,8,Melissa Gilbert,Melissa Gilbert,0
14,9,William Levy,Maria Menounos,1
14,10,William Levy,William Levy,0
15,1,Pamela Anderson,Pamela Anderson,0
15,2,Joey Fatone,Joey Fatone,0
15,3,Drew Lachey,Drew Lachey,0
15,4,Bristol Palin,Bristol Palin,0
15,5,Kelly Monaco,Kelly Monaco,0
15,6,Sabrina Bryan,Sabrina Bryan,0
15,7,Kirstie Alley,Kirstie Alley,0
15,8,Kirstie Alley,Kirstie Alley,0
15,9,Emmitt Smith,Emmitt Smith,0
15,10,Shawn Johnson,Shawn Johnson,0
16,1,D. L. Hughley,D. L. Hughley,0
16,2,Dorothy Hamill,Dorothy Hamill,0
16,3,Wynonna Judd,Wynonna Judd,0
16,4,Lisa Vanderpump,Lisa Vanderpump,0
16,5,D. L. Hughley,D. L. Hughley,0
16,6,Victor Ortiz,Victor Ortiz,0
16,7,Andy Dick,Andy Dick,0
16,8,Sean Lowe,Sean Lowe,0
16,9,Ingo Rademacher,Ingo Rademacher,0
16,10,Jacoby Jones,Jacoby Jones,0
17,1,Bill Nye,Bill Nye,0
17,2,Keyshawn Johnson,Keyshawn Johnson,0
17,3,Bill Nye,Bill Nye,0
17,4,Valerie Harper,Valerie Harper,0
17,5,Christina Milian,Christina Milian,0
17,6,Bill Engvall,Bill Engvall,0
17,7,"Nicole ""Snooki"" Polizzi","Nicole ""Snooki"" Polizzi",0
17,8,Brant Daugherty,Brant Daugherty,0
17,9,Elizabeth Berkley Lauren,Elizabeth Berkley Lauren,0
17,10,Leah Remini,Leah Remini,0
17,11,Bill Engvall,Bill Engvall,0
18,1,Diana Nyad,Diana Nyad,0
18,2,Billy Dee Williams,Billy Dee Williams,0
18,3,Drew Carey,Drew Carey,0
18,4,Candace Cameron Bure,Candace Cameron Bure,0
18,5,Cody Simpson,Cody Simpson,0
18,6,Drew Carey,Drew Carey,0
18,7,NeNe Leakes,NeNe Leakes,0
18,8,Danica McKellar,Danica McKellar,0
18,9,Charlie White,Charlie White,0
18,10,Candace Cameron Bure,Candace Cameron Bure,0
19,1,Lolo Jones,Lolo Jones,0
19,2,Tavis Smiley,Tavis Smiley,0
19,3,Randy Couture,Randy Couture,0
19,4,Betsey Johnson,Betsey Johnson,0
19,5,Michael Waltrip,Michael Waltrip,0
19,6,Jonathan Bennett,Jonathan Bennett,0
19,7,Antonio Sabato Jr.,Antonio Sabato Jr.,0
19,8,Michael Waltrip,Michael Waltrip,0
19,9,Lea Thompson,Lea Thompson,0
19,10,Tommy Chong,Tommy Chong,0
19,11,Bethany Mota,Bethany Mota,0
20,1,Charlotte McKinney,Charlotte McKinney,0
20,2,Redfoo,Redfoo,0
20,3,Charlotte McKinney,Charlotte McKinney,0
20,4,Michael Sam,Michael Sam,0
20,5,Suzanne Somers,Suzanne Somers,0
20,6,Patti LaBelle,Patti LaBelle,0
20,7,Willow Shields,Willow Shields,0
20,8,Robert Herjavec,Robert Herjavec,0
20,9,Nastia Liukin,Nastia Liukin,0
20,10,Noah Galloway,Noah Galloway,0
21,1,Kim Zolciak-Biermann,Kim Zolciak-Biermann,0
21,3,Paula Deen,Paula Deen,0
21,4,Gary Busey,Gary Busey,0
21,5,Paula Deen,Paula Deen,0
21,6,Paula Deen,Paula Deen,0
21,7,Hayes Grier,Hayes Grier,0
21,8,Andy Grammer,Andy Grammer,0
21,9,Tamar Braxton,Tamar Braxton,0
21,10,Nick Carter,Nick Carter,0
